participant_id,flow,from_step,to_step,duration_ms
P0,explorar-salvar,inicio-feed,inicio-feed,18045.60000000149
P0,explorar-salvar,inicio-feed,inicio-feed,0.3999999985098839
P0,explorar-salvar,inicio-feed,inicio-feed,26331.199999999255
P0,explorar-salvar,inicio-feed,inicio-feed,0.5
P0,explorar-salvar,inicio-feed,salvar-dica,2720.0
P0,explorar-salvar,salvar-dica,inicio-salvos,1995.800000000745
P0,explorar-salvar,inicio-salvos,inicio-salvos,0.5
P0,criar-perfil,inicio-fluxo,inicio-fluxo,1.0
P0,criar-perfil,inicio-fluxo,preenchimento-nome,2481.099999997765
P0,criar-perfil,preenchimento-nome,preenchimento-nome,253.30000000074506
P0,criar-perfil,preenchimento-nome,preenchimento-nome,251.40000000223517
P0,criar-perfil,preenchimento-nome,preenchimento-nome,78.19999999925494
P0,criar-perfil,preenchimento-nome,preenchimento-nome,212.80000000074506
P0,criar-perfil,preenchimento-nome,preenchimento-nome,416.69999999925494
P0,criar-perfil,preenchimento-nome,preenchimento-nome,505.19999999925494
P0,criar-perfil,preenchimento-nome,preenchimento-nome,32.19999999925494
P0,criar-perfil,preenchimento-nome,preenchimento-nome,33.900000002235174
P0,criar-perfil,preenchimento-nome,preenchimento-nome,31.099999997764826
P0,criar-perfil,preenchimento-nome,preenchimento-nome,847.5
P0,criar-perfil,preenchimento-nome,preenchimento-nome,807.3000000007451
P0,criar-perfil,preenchimento-nome,preenchimento-nome,273.0
P0,criar-perfil,preenchimento-nome,preenchimento-nome,90.69999999925494
P0,criar-perfil,preenchimento-nome,preenchimento-bio,1547.300000000745
P0,criar-perfil,preenchimento-bio,preenchimento-bio,698.0
P0,criar-perfil,preenchimento-bio,preenchimento-bio,248.39999999850988
P0,criar-perfil,preenchimento-bio,preenchimento-bio,102.40000000223517
P0,criar-perfil,preenchimento-bio,preenchimento-bio,807.1999999992549
P0,criar-perfil,preenchimento-bio,preenchimento-bio,272.1000000014901
P0,criar-perfil,preenchimento-bio,preenchimento-bio,292.19999999925494
P0,criar-perfil,preenchimento-bio,preenchimento-bio,183.5
P0,criar-perfil,preenchimento-bio,preenchimento-bio,152.89999999850988
P0,criar-perfil,preenchimento-bio,preenchimento-bio,198.69999999925494
P0,criar-perfil,preenchimento-bio,preenchimento-bio,35.20000000298023
P0,criar-perfil,preenchimento-bio,preenchimento-bio,451.0
P0,criar-perfil,preenchimento-bio,preenchimento-bio,187.0
P0,criar-perfil,preenchimento-bio,preenchimento-bio,49.099999997764826
